
Global CMT Catalog CMT Catalog




Search criteria: criteria:

Start date: 1976/1/1 End date: 2019/2/2 date: 1976/1/1 End date: 2019/2/2
0 <=lat<= 10 87 <=lon<= 98 <=lat<= 10 87 <=lon<= 98
0 <=lat<= 10 87 <=lon<= 98 <=depth<= 1000 -9999 <=time shift<= 9999
0 <=lat<= 10 87 <=lon<= 98 <=mb<= 10 0<=Ms<= 10 0<=Mw<= 10
0 <=lat<= 10 87 <=lon<= 98 <=tension plunge<= 90 0 <=null plunge<= 90
0 <=depth<= 1000 -9999 <=time shift<= 9999 <=lat<= 10 87 <=lon<= 98
0 <=depth<= 1000 -9999 <=time shift<= 9999 <=depth<= 1000 -9999 <=time shift<= 9999
0 <=depth<= 1000 -9999 <=time shift<= 9999 <=mb<= 10 0<=Ms<= 10 0<=Mw<= 10
0 <=depth<= 1000 -9999 <=time shift<= 9999 <=tension plunge<= 90 0 <=null plunge<= 90
0 <=mb<= 10 0<=Ms<= 10 0<=Mw<= 10 <=lat<= 10 87 <=lon<= 98
0 <=mb<= 10 0<=Ms<= 10 0<=Mw<= 10 <=depth<= 1000 -9999 <=time shift<= 9999
0 <=mb<= 10 0<=Ms<= 10 0<=Mw<= 10 <=mb<= 10 0<=Ms<= 10 0<=Mw<= 10
0 <=mb<= 10 0<=Ms<= 10 0<=Mw<= 10 <=tension plunge<= 90 0 <=null plunge<= 90
0 <=tension plunge<= 90 0 <=null plunge<= 90 <=lat<= 10 87 <=lon<= 98
0 <=tension plunge<= 90 0 <=null plunge<= 90 <=depth<= 1000 -9999 <=time shift<= 9999
0 <=tension plunge<= 90 0 <=null plunge<= 90 <=mb<= 10 0<=Ms<= 10 0<=Mw<= 10
0 <=tension plunge<= 90 0 <=null plunge<= 90 <=tension plunge<= 90 0 <=null plunge<= 90




Results

Output in GMT <http://www.soest.hawaii.edu/gmt/> psmeca (GMT v>3.3) format in GMT <http://www.soest.hawaii.edu/gmt/> psvelomeca (old) format
Columns: lon lat depth mrr mtt mpp mrt mrp mtp iexp name lon lat str1 dip1 rake1 str2 dip2 rake2 sc iexp name

96.24 3.18 19 2.43 -0.02 -2.41 1.12 -1.68 1.84 26 X Y 062076A 3.18 338 28 99 147 62 85 3.550 26 062076A
95.58 4.26 65 -1.44 1.94 -0.50 2.78 -2.41 -0.85 25 X Y 052577B 4.26 78 19 -140 310 78 -76 4.150 25 052577B
95.67 3.31 62 -0.22 0.21 0.01 0.25 -0.88 -1.11 25 X Y 120377A 3.31 87 50 -176 354 87 -40 1.430 25 120377A
93.79 6.26 33 0.78 -0.10 -0.68 -1.75 -2.33 5.57 23 X Y 060778A 6.26 275 68 16 179 75 158 6.310 23 060778A
95.28 4.14 58 -2.35 0.01 2.33 2.49 -2.40 -3.19 24 X Y 121878C 4.14 173 27 -50 309 70 -109 4.960 24 121878C
96.14 4.88 15 4.33 -6.15 1.82 -4.41 0.74 -2.17 24 X Y 031679B 4.88 49 32 48 276 67 113 7.250 24 031679B
94.14 7.47 124 2.04 -1.57 -0.48 -3.92 -1.49 -0.89 23 X Y 060879A 7.47 55 13 77 249 77 93 4.670 23 060879A
94.24 1.23 39 0.08 -1.06 0.99 0.07 0.05 -1.96 26 X Y 092979A 1.23 284 88 -179 194 89 -2 2.210 26 092979A
91.09 6.48 17 -0.42 -0.96 1.38 -0.57 -0.02 -2.05 24 X Y 101679D 6.48 14 76 -7 106 83 -166 2.440 24 101679D
92.57 6.35 15 2.72 -0.08 -2.64 -1.46 -2.85 1.65 24 X Y 021980B 6.35 308 35 38 186 69 119 4.450 24 021980B
97.60 3.90 48 0.09 -0.91 0.82 0.02 0.27 1.16 25 X Y 040180B 3.90 72 80 5 341 85 170 1.470 25 040180B
97.71 1.38 41 8.95 -6.88 -2.07 7.67 -5.65 5.82 24 X Y 011181B 1.38 301 23 86 126 67 92 13.720 24 011181B
93.78 6.50 29 0.47 -0.69 0.22 0.19 0.98 2.65 25 X Y 012082A 6.50 87 69 9 353 81 159 2.900 25 012082A
93.71 6.81 22 -0.10 0.17 -0.07 0.47 0.30 1.83 25 X Y 012082B 6.81 1 77 172 93 83 13 1.910 25 012082B
